"corpus","AranRusi_x"
"subcorpus","-"
"concordance size","93"
"query","Query:[word=""до""] [word=""цели""]"
"fat-man.ru","вас поддерживаем и желаем добиться,добраться"," до цели","!))) прочитав ваши мемуары еще раз убедилась,"
"ukrspetsexport.com","дальномер обеспечивает измерение дальности"," до цели"," типа ""танк"" на расстояниях от 70 м. до 1200 м."
"ukrspetsexport.com","от 70 м. до 1200 м. Информация о дальности"," до цели"," передается по цифровому каналу на пусковую"
"exzistencial.ru","неизбежностью, борьбой с тревогой не дойти"," до цели"," и с каждым ударом сердца, во всем моем тельце"
"career.7ya.com.ua",", что, во-первых, вы все равно сможете дойти"," до цели",", а во-вторых, лето наступит и без наших особых"
"baza-referat.ru","злые, противоположные целям средства, то"," до цели"," никогда не доходят, все заменяют средствами и о"
"avialand.org","параметров: исходную точку, курс и дистанцию"," до цели",", характер цели, возможные угрозы."
"rybolovnn.ru","туристов в горы. В конце концов за 15 километров"," до цели"," они заявляют, что дальше не поедут...  ¶ После"
"ctivo.do.am","определение в пассивном режиме дистанции"," до цели",", фиксирование работы чужих активных"
"ctivo.do.am","и обнаружения мин, а также для замера дистанции"," до цели"," в условиях, когда пассивная ГАС по каким либо"
"ollie.com.ua","инцидента на трафик, а также кратчайший путь"," до цели"," назначения.  ¶ • Дорожные камеры. Пользователи"
"blackball.lv","оплот людей. Фродо и Сэм почти добрались"," до цели",", но между ними и роковой горой стоит целое"
"webhow.ru","10% участников. Кто из оставшихся 90% дойдет"," до цели"," и выйдет на доход, покажет время.  ¶ Вот как"
"arktika-ermak.ru",".  (...) В тщательной подготовке номера. Дистанция"," до цели"," выверена до миллиметра, так же тщательно"
"rusmama.ru","с ""женскими"" хромосомами добираются"," до цели"," медленнее и могут дождаться выхода яйцеклетки"
"961-961.ru",". Любовь придает неутомимость. Чтобы дойти"," до цели",", надо идти.  ¶ ≡ [...] Продажа автозапчастей в Томске.  ¶"
"irkutsk-4x4.ru","таки, где можно будет протропиться и дойти"," до цели","! Морально мы с вами, всё так же держим кулаки!  ¶"
"irkutsk-4x4.ru","присутствовать?  ¶ [...] (...) Спасибо за то, что доехали"," до цели",", что позвали и рассказали!!!  (...) Вы ПОБЕДИТЕЛИ"
"ironit.nnm.me","детекторы ""включаются"" максимум за 800 метров"," до цели",". Обратная сторона высокой чувствительности –"
"it.sander.su","проследить путь пакетов от вашего компьютера"," до цели",". Попробуйте, например протрассировать путь"
"etvnet.eu","держась за нее он не пропадет; отец доведет его"," до цели",".Замедте ,при этом,что он идет сам,своими"
"tech.icatalog.ru",".  ¶ По глубине резкости. Это диапазон расстояния"," до цели",", при котором нет необходимости изменять"
"zzombi.ru","и шаткие деревянные конструкции - добраться"," до цели"," в этот раз будет непросто.  ¶ Каждый выезд на"
"review.kuda.ua","без происшествий, и мы благополучно добрались"," до цели"," нашей поездки..  ¶ Чудеса начались в Марракеше."
"alpfederation.ru","с направлениями и примерным временем"," до цели",". То, что указано время, а не расстояние или"
"gamezgid.ru","пустыню, кишащую опасными тварями и добраться"," до цели"," можно попытаться в играх вместе Генератором"
"cube-taxi.ru","515 ) которая меня превосходно доставила"," до цели"," и пару дней спустя обратно в аэропорт . Это очень"
"forum.warthunder.ru","танка, можно вычислять примерное расстояние"," до цели"," и брать соответствующее вертикальное"
"scienceblog.ru","силу рук или помощь ближних, чтобы добраться"," до цели",". Достаточно закрепить на колёсах утройство,"
"fairytail.rolebb.ru","должны ждать. И, кажется, совсем подать рукой"," до цели",", как некая тень преграждает путь. Мастер"
"transerfingon.ru","по-другому просто не может, смотрим на путь"," до цели"," с четырехмерной точки зрения. – Знаем, что цель"
"top-50.ru","), но всё, преподнесённое в такой форме,"," до цели"," не долетит, потому что любой человек мгновенно"
"pedagog-prof.org","духом и готов, преодолев все преграды, дойти"," до цели",", достоин уважения. Именно поэтому девизом"
"pedagog-prof.org","-2014"" стали слова О. Бальзака: ""Чтобы дойти"," до цели",", надо, прежде всего, идти!"".  ¶ (...) Профсоюз обратил"
"bsvt.by","вооружения БТР-80 (от -4o до +60o). Дальность"," до цели"," вводится оператором и отображается на дисплее"
"lib.ru",". Если, зайдя далеко, ты заметишь, что идти"," до цели"," осталось еще больше, знай, что твое желание"
"deaths-lover.ru","дальномер помогает определять расстояние"," до цели"," на расстоянии более 100 метров, что помогает"
"bronyville.ru","Группы · 6 месяцев назад Редактирование  ¶ *дойдя"," до цели"," Слен демонстративно полкатил тележку с гробом"
"zatrofeem.ru","пытается правильно определить расстояние"," до цели",". По его подсчетам, до ибекса 200 метров. Но"
"forum.fantasy-worlds.net",", принимают в расчет силу ветра, расстояние"," до цели",", а также учитывают возможность действовать из"
"belgorod-dnestrovskiy.ru","руки или ошибка в определении расстояния"," до цели"," ведет к потере пули, здесь она может привести к"
"mnogodetok.ru","людей. Все труха и рухлядь. Деньги не доходят"," до цели",". А мы боимся с ""такими спецами"" расстаться"
"daabyss.rolbb.ru","собирающихся отходить ко сну, она добралась"," до цели"," своего вечернего променада. Таверна ""Змеиный"
"neopresent.ru","от другого, как просчитать расстояние"," до цели",". Одним словом, научиться стрелять из боевого"
"vzglyadzagran.ru",", но редко бывает что меня уносит в космос,"," до цели"," я пока не пролетел.  ¶ Ну я при намеренном выходе,"
"ficbook.net","перешёл через дорогу и продолжил свой путь"," до цели",", при этом по пути подбирая ветви с листвой и"
"rootfront.com",", которые позволяют свиньям добраться"," до цели",", каковой для них, как и в Angry Birds, являются"
"e-libra.ru","мотоцикл на вокзал в Бресте, и метров за двести"," до цели"," кончился бензин. Поезд отправлялся через две"
"perunica.ru","прекратиться раньше, ракета не долетит"," до цели",".  ¶ (...) Как могут гореть пороховые шашки  ¶ В некоторых"
"gruziyagid.ru","сумму для кошелька в 260 рублей вы доберётесь"," до цели",".  ¶ Можете себе позволить — это прекрасный выбор."
"dnow.dll-z5m6.ru","и момент. Программа и оптимальные уровень"," до цели"," и программы. бесплатно драйвера nvidia для"
"golosagorodov.info","достаточно длительного времени – иначе"," до цели"," долетит только пригоршня осколков и"
"pochemu4ka.ru","ещё и ещё ближе. Бородач шёл следом.  ¶ Когда"," до цели"," осталось несколько шагов Азиз внимательно"
"libfox.ru","начинал гаснуть. Приходилось ""вести"" его"," до цели"," — концентрироваться на его целостности,"
"peoples.ru","самолета по Саакашвили, но не долетевшим"," до цели",".  ¶ ≡ Я хотел бы авторизовать (используя"
"fair.ru","значительно расширить дистанцию пуска"," до цели"," — после размещения в ракете новых топливных"
"btvt.info",", поиска цели, определения дальности"," до цели",", целеуказания и корректировки стрельбы.  ¶ Для"
"docplayer.ru","мышечным усилием, и так далее). (2) Дальность"," до цели"," определена неверно (что вызвало завышенный"
"docplayer.ru","баллистика изучает полет пули от дула оружия"," до цели",". c. Терминальная баллистика изучает процессы"
"docplayer.ru","ветра Константа ""С"" зависит от дальности"," до цели",": от 100 до 500 м ""С"" = 15 на 600 м ""С"" = 14 от 700"
"docplayer.ru","перед стрельбой: (1) Дальность. Дистанция"," до цели",". (2) Номера винтовки и прицела. Серийные"
"kot-bayun.livejournal.com","блуждавший Моше сотоварищи дошли наконец-то"," до цели",", то территория Голан, она же Земля Башан, была"
"stoboi.ru","только правильно ими руководить. Цель: дойти"," до цели"," двери - выхода с уровня.  (...) Есть таблички с"
"u69.ru",", Сингапур. Порой перебраться из этих локаций"," до цели"," удается всего за 10 евро! Другими словами,"
"coollib.xyz","и к тому моменту, когда Цеппелин добрался"," до цели"," своего полета, он успел практически удвоить"
"wordweb.ru","пешком, на санях, с собаками добраться"," до цели"," экспедиции...""  ¶ Нет, шведы ничего не слышали об"
"city-n.ru","недоставало воздуха, и за несколько минут"," до цели"," она была готова повернуть назад.  ¶ ""Это все равно"
"repack-mechanics.net","губительным для Джеймса, и чтоб добраться"," до цели",", в большинстве случаев ему нужно направлять"
